"Age_BP","depth","Betula","Juniperus","Picea","Pinus","Salix","NAP","AP","Method"
13256.3533,NA,29.4395826604183,NA,NA,5.74169873342882,NA,NA,NA,"modelled"
13228,NA,29.6496629825302,NA,NA,6.40460767698799,NA,59.2056072048855,40.7943927951145,"measured"
13212.9859,NA,29.761618539634,NA,NA,6.86362161023922,NA,NA,NA,"modelled"
13198,NA,30.0826404624817,NA,NA,6.53672331640318,NA,58.7013904061757,41.2986095938243,"measured"
13182.9624,NA,30.4057391061708,NA,NA,6.73560445559065,NA,NA,NA,"modelled"
13168,NA,25.3497807026229,NA,NA,8.78677682218013,NA,61.1539802539248,38.8460197460752,"measured"
13162.9466,NA,23.6425463696929,NA,NA,8.64753873626557,NA,NA,NA,"modelled"
13138,NA,24.846490808443,NA,NA,7.82770781518382,NA,62.2736810001175,37.7263189998825,"measured"
13108,NA,26.2945529681015,NA,NA,6.96355803670004,NA,62.1560391943592,37.8439608056408,"measured"
13106.2354,NA,26.3800465754477,NA,NA,7.00089136044038,NA,NA,NA,"modelled"
13078,NA,26.5311494750448,NA,NA,7.13794317744712,NA,58.6426861111423,41.3573138888577,"measured"
13076.2119,NA,26.5410645150556,NA,NA,7.1749098420522,NA,NA,NA,"modelled"
13048,NA,21.4141746063895,NA,NA,8.69705633182317,NA,63.9178968844344,36.0821031155656,"measured"
13019.5006,NA,16.2352330666782,NA,NA,9.67781408324403,NA,NA,NA,"modelled"
13018,NA,16.5250940938535,NA,NA,9.6173601964015,NA,68.451277247831,31.548722752169,"measured"
12992.813,NA,21.3881487908669,NA,NA,8.94862737298166,NA,NA,NA,"modelled"
12988,NA,20.861471438684,NA,NA,8.79529806009412,NA,66.4221153181118,33.5778846818882,"measured"
12958,NA,17.5792268565294,NA,NA,8.94924310470015,NA,69.5104309644202,30.4895690355798,"measured"
12942.7737,NA,15.9131971874625,NA,NA,9.28037826177215,NA,NA,NA,"modelled"
12928,NA,17.894177936118,NA,NA,9.77942336993323,NA,67.5239155447657,32.4760844552343,"measured"
12912.7501,NA,19.9388897181855,NA,NA,10.3331372953883,NA,NA,NA,"modelled"
12898,NA,19.8880071268407,NA,NA,9.89009406642519,NA,66.2192979919595,33.7807020080405,"measured"
12868,NA,19.7845814008623,NA,NA,9.30474136646829,NA,67.3292386245401,32.6707613754599,"measured"
12866.0468,NA,19.7778717785777,NA,NA,9.37603812124918,NA,NA,NA,"modelled"
12842.6951,NA,24.9307875027664,NA,NA,9.98508512706097,NA,NA,NA,"modelled"
12838,NA,25.7520484746225,NA,NA,10.0894487337042,NA,60.5055503126632,39.4944496873368,"measured"
12816.0075,NA,29.6006006000262,NA,NA,9.60385407159059,NA,NA,NA,"modelled"
12808,NA,27.9767971683873,NA,NA,10.2126396328047,NA,56.5652945594939,43.4347054405061,"measured"
12782.648,NA,22.8374078635482,NA,NA,12.2730440098052,NA,NA,NA,"modelled"
12778,NA,21.665634490282,NA,NA,12.7235001612064,NA,58.20012233676,41.79987766324,"measured"
12752.6244,NA,15.2690766209257,NA,NA,14.9283492285521,NA,NA,NA,"modelled"
12748,NA,15.5562415390316,NA,NA,14.6562471708373,NA,62.2283701448182,37.7716298551818,"measured"
12729.2727,NA,16.7183356936071,NA,NA,13.5791802423092,NA,NA,NA,"modelled"
12718,NA,15.5621941749148,NA,NA,12.917953027613,NA,65.56261815947,34.43738184053,"measured"
12702.5851,NA,13.9808354878522,NA,NA,12.0372761309488,NA,NA,NA,"modelled"
12688,NA,12.4322887443236,NA,NA,12.4910427272014,NA,69.9065618108816,30.0934381891184,"measured"
12685.9053,NA,12.2095405359551,NA,NA,12.6107121791811,NA,NA,NA,"modelled"
12658,NA,8.61800987430597,NA,NA,11.8965209553141,NA,81.1123836295615,18.8876163704385,"measured"
12655.8817,NA,8.34486594483995,NA,NA,11.7068300984301,NA,NA,NA,"modelled"
12632.5301,NA,8.50588388444779,NA,NA,10.0844883608325,NA,NA,NA,"modelled"
12628,NA,9.20919912522155,NA,NA,10.7904392096863,NA,77.1714229741899,22.8285770258101,"measured"
12610.9747,NA,11.8503128804493,NA,NA,12.5384613708133,NA,NA,NA,"modelled"
12598,NA,10.180596638556,NA,NA,11.1195206386384,NA,72.6022456210861,27.3977543789139,"measured"
12590.4457,NA,9.20779324773984,NA,NA,10.8697549621699,NA,NA,NA,"modelled"
12573.3383,NA,10.8593619171701,NA,NA,10.2698945226594,NA,NA,NA,"modelled"
12568,NA,9.44255627986831,NA,NA,10.064546942289,NA,74.9387133744923,25.0612866255077,"measured"
12552.8093,NA,5.40920483129244,NA,NA,9.30284574624903,NA,NA,NA,"modelled"
12538,NA,7.23657438751329,NA,NA,8.4933702936364,NA,81.4601323154976,18.5398676845024,"measured"
12522.0159,NA,9.20779324773984,NA,NA,7.66686886343105,NA,NA,NA,"modelled"
12508,NA,10.7868255699669,NA,NA,7.39177120783147,NA,76.6444187055425,23.3555812944575,"measured"
12501.487,NA,11.5200284314265,NA,NA,7.52144888501629,NA,NA,NA,"modelled"
12478,NA,8.28125569115609,NA,NA,7.87130661975992,NA,78.3298396604134,21.6701603395866,"measured"
12477.5365,NA,8.21684228446062,NA,NA,7.90318201029107,NA,NA,NA,"modelled"
12457.0076,NA,11.1896951742983,NA,NA,9.92087723076663,NA,NA,NA,"modelled"
12448,NA,9.77703122196676,NA,NA,8.98076826975832,NA,76.4810332966036,23.5189667033964,"measured"
12443.3216,NA,9.04267542728111,NA,NA,8.52483665362087,NA,NA,NA,"modelled"
12418,NA,9.89866992576626,NA,NA,10.1650056512681,NA,76.5758142834829,23.4241857165171,"measured"
12409.1067,NA,10.1987442110191,NA,NA,10.393502471717,NA,NA,NA,"modelled"
12388.5778,NA,12.5109793947057,NA,NA,8.6484438399195,NA,NA,NA,"modelled"
12388,NA,12.4515154220946,NA,NA,8.57687464855491,NA,73.9313685269147,26.0686314730853,"measured"
12364.6273,NA,10.033577582455,NA,NA,9.1574304396949,NA,NA,NA,"modelled"
12358,NA,10.7804087150575,NA,NA,9.56033154336687,NA,76.8668552069945,23.1331447930055,"measured"
12344.0984,NA,12.3458127661416,NA,NA,8.84581083669335,NA,NA,NA,"modelled"
12328,NA,9.75598654319654,NA,NA,8.44803793930887,NA,77.8543012089195,22.1456987910805,"measured"
12323.5694,NA,9.04267542728111,NA,NA,8.61209498072792,NA,NA,NA,"modelled"
12298,NA,11.0486745128767,NA,NA,9.24147558431916,NA,76.4999494863944,23.5000505136056,"measured"
12296.1975,NA,11.1896951742983,NA,NA,9.13560531641422,NA,NA,NA,"modelled"
12268.8256,NA,11.1896951742983,NA,NA,7.21604770225502,NA,NA,NA,"modelled"
12268,NA,11.1900541928148,NA,NA,7.13152819162032,NA,78.6301656632464,21.3698343367536,"measured"
12241.4537,NA,11.1896951742983,NA,NA,9.69183885561687,NA,NA,NA,"modelled"
12238,NA,10.5440759907622,NA,NA,9.4406825916301,NA,77.5441591774131,22.4558408225869,"measured"
12214.0817,NA,6.06982253744346,NA,NA,7.85953185441903,NA,NA,NA,"modelled"
12208,NA,6.58412644039929,NA,NA,7.88164879627351,NA,85.8245511414471,14.1754488585529,"measured"
12186.7098,NA,8.38200891302472,NA,NA,8.47576357166302,NA,NA,NA,"modelled"
12178,NA,11.2412905320182,NA,NA,7.96567217314194,NA,76.7762202985362,23.2237797014638,"measured"
12169.6024,NA,13.9973814355718,NA,NA,7.52142845984838,NA,NA,NA,"modelled"
12152.4949,NA,10.1987442110191,NA,NA,10.0922664286895,NA,NA,NA,"modelled"
12148,NA,9.90082399912302,NA,NA,10.7515574572256,NA,77.7328132828807,22.2671867171193,"measured"
12125.123,NA,8.38200891302472,NA,NA,7.94557077206739,NA,NA,NA,"modelled"
12118,NA,7.65189320083663,NA,NA,7.66821198700637,NA,84.3273811235115,15.6726188764885,"measured"
12097.7511,NA,5.57437145985653,NA,NA,6.97610212387549,NA,NA,NA,"modelled"
12088,NA,8.21070855010357,NA,NA,6.09169411504157,NA,84.9043380584858,15.0956619415142,"measured"
12080.6436,NA,10.1987442110191,NA,NA,6.03541191751019,NA,NA,NA,"modelled"
12063.5362,NA,12.0154795090134,NA,NA,7.33057524220078,NA,NA,NA,"modelled"
12058,NA,11.7708461209907,NA,NA,7.72479825696135,NA,78.7147352027626,21.2852647972374,"measured"
12028,NA,10.4434614345456,NA,NA,10.306667350504,NA,75.3260592085881,24.6739407914119,"measured"
12022.4783,NA,10.1987442110191,NA,NA,9.93299308284629,NA,NA,NA,"modelled"
12001.9493,NA,13.0064304722926,NA,NA,9.11379397013956,NA,NA,NA,"modelled"
11998,NA,12.1298195724402,NA,NA,9.54734904558919,NA,74.1990279298912,25.8009720701088,"measured"
11984.8419,NA,9.20779324773984,NA,NA,10.5116577513369,NA,NA,NA,"modelled"
11968,NA,9.42996186126629,NA,NA,9.64223566648715,NA,77.6108542559107,22.3891457440893,"measured"
11947.2055,NA,9.70329313343213,NA,NA,8.61208113179416,NA,NA,NA,"modelled"
11938,NA,11.6080006880177,NA,NA,8.36895794414498,NA,77.9989105403151,22.0010894596849,"measured"
11923.255,NA,14.6579991417228,NA,NA,8.03951104113828,NA,NA,NA,"modelled"
11908,NA,13.5537041127029,NA,NA,8.56391092437417,NA,74.8442275599627,25.1557724400373,"measured"
11889.0401,NA,12.1806461375775,NA,NA,8.88476960690756,NA,NA,NA,"modelled"
11878,NA,12.0477312706518,NA,NA,8.68667280869088,NA,75.2278655337079,24.7721344662921,"measured"
11861.6682,NA,11.8503128804493,NA,NA,8.42124159484313,NA,NA,NA,"modelled"
11848,NA,10.970999376142,NA,NA,8.07055355793849,NA,75.611503507453,24.388496492547,"measured"
11841.1393,NA,10.5290774681473,NA,NA,7.93044365541994,NA,NA,NA,"modelled"
11818,NA,16.1139391192827,NA,NA,6.91349672191941,NA,71.6263565027914,28.3736434972086,"measured"
11806.9244,NA,18.7869208152984,NA,NA,6.4307757879026,NA,NA,NA,"modelled"
11788,NA,14.0892113869479,NA,NA,6.93142379177767,NA,75.1146734093899,24.8853265906101,"measured"
11782.9739,NA,12.8412638437285,NA,NA,7.09881183052722,NA,NA,NA,"modelled"
11759.0235,NA,14.8231657702869,NA,NA,8.99382675715857,NA,NA,NA,"modelled"
11758,NA,14.8134816315674,NA,NA,8.98887363362347,NA,71.9111404186495,28.0888595813505,"measured"
11741.916,NA,14.6579991417228,NA,NA,9.2664791812804,NA,NA,NA,"modelled"
11728,NA,15.2339541002946,NA,NA,8.13376104522284,NA,70.0823689761854,29.9176310238146,"measured"
11717.9656,NA,15.6489501050021,NA,NA,7.8849847224293,NA,NA,NA,"modelled"
11698,NA,14.92632340636,NA,NA,8.75281266154716,NA,70.2558319746673,29.7441680253327,"measured"
11690.5937,NA,14.6579991417228,NA,NA,7.78318658861368,NA,NA,NA,"modelled"
11670.0647,NA,15.483783476438,NA,NA,7.63050296260821,NA,NA,NA,"modelled"
11668,NA,15.7081844546163,NA,NA,7.72076005004514,NA,69.7233500615264,30.2766499384736,"measured"
11656.3788,NA,16.9701855173041,NA,NA,8.39396993636131,NA,NA,NA,"modelled"
11642.6928,NA,11.5200284314265,NA,NA,10.7497900218742,NA,NA,NA,"modelled"
11638,NA,12.0057593292598,NA,NA,11.1921257370259,NA,66.316605944904,33.683394055096,"measured"
11618.7424,NA,13.9973814355718,NA,NA,10.4194631511758,NA,NA,NA,"modelled"
11608,NA,11.8198425045808,NA,NA,11.1872362412707,NA,68.117000303811,31.882999696189,"measured"
11601.6349,NA,10.5290774681473,NA,NA,11.6659279521986,NA,NA,NA,"modelled"
11578,NA,21.3672381157957,NA,NA,9.92529996371159,NA,60.8579518520764,39.1420481479236,"measured"
11574.263,NA,23.0810091174381,NA,NA,10.0766847553303,NA,NA,NA,"modelled"
11548,NA,23.968221895737,NA,NA,11.6274506627993,NA,59.6527046749282,40.3472953250718,"measured"
11540.0481,NA,24.2371267092815,NA,NA,12.5142036825783,NA,NA,NA,"modelled"
11519.5191,NA,16.3095678111531,NA,NA,14.4024752687283,NA,NA,NA,"modelled"
11518,NA,16.2430399408013,NA,NA,14.4012197743813,NA,61.564519653207,38.435480346793,"measured"
11488,NA,14.9266321575714,NA,NA,14.4884123447548,NA,61.7566124495079,38.2433875504921,"measured"
11481.8827,NA,14.6579991417228,NA,NA,14.7197647371133,NA,NA,NA,"modelled"
11458,NA,15.554823434306,NA,NA,16.2420263257097,NA,58.2673114527775,41.7326885472225,"measured"
11451.0893,NA,15.8141167335662,NA,NA,16.6920453541025,NA,NA,NA,"modelled"
11428,NA,14.8712403462543,NA,NA,18.2307778023945,NA,56.4675232253308,43.5324767746692,"measured"
11406.61,NA,13.9973814355718,NA,NA,19.6277131424313,NA,NA,NA,"modelled"
11398,NA,14.4725668572061,NA,NA,20.18765537442,NA,53.5009900934268,46.4990099065732,"measured"
11382.6595,NA,15.3186168478739,NA,NA,21.1546313458712,NA,NA,NA,"modelled"
11368,NA,16.4509465276125,NA,NA,20.5115365987689,NA,50.6843928040281,49.3156071959719,"measured"
11338,NA,18.7678499221384,NA,NA,18.1738074758528,NA,51.1785313775189,48.8214686224811,"measured"
11331.3372,NA,19.2824207009907,NA,NA,17.6508896551505,NA,NA,NA,"modelled"
11308,NA,20.92089259766,NA,NA,16.2105920020997,NA,51.6726699510097,48.3273300489903,"measured"
11293.7008,NA,21.9249403337002,NA,NA,15.4237284336053,NA,NA,NA,"modelled"
11278,NA,21.108660124208,NA,NA,15.4207155642818,NA,52.3239751087136,47.6760248912864,"measured"
11249.2214,NA,19.6127051500136,NA,NA,16.6465871553437,NA,NA,NA,"modelled"
11248,NA,19.5832109860513,NA,NA,16.6994687897765,NA,53.167973999668,46.832026000332,"measured"
11218,NA,18.8591865129014,NA,NA,15.2370477076031,NA,54.0119728906224,45.9880271093776,"measured"
11215.0065,NA,18.7869208152984,NA,NA,15.0668000958828,NA,NA,NA,"modelled"
11188,NA,23.4218317264251,NA,NA,13.4932993646361,NA,52.7782970388657,47.2217029611343,"measured"
11184.2131,NA,24.0719600807174,NA,NA,13.2820967773776,NA,NA,NA,"modelled"
11158,NA,29.1328075902598,NA,NA,10.9694082601708,NA,51.2921847039339,48.7078152960661,"measured"
11143.1552,NA,31.9995189788457,NA,NA,10.1092793182993,NA,NA,NA,"modelled"
11128,NA,31.8526379250088,NA,NA,9.78287426187465,NA,50.8386400748786,49.1613599251214,"measured"
11108.9403,NA,31.6691857217175,NA,NA,9.85544387213682,NA,NA,NA,"modelled"
11098,NA,27.9721543565854,NA,NA,11.0257591144642,NA,51.1106134931912,48.8893865068088,"measured"
11091.8328,NA,25.8886953787117,NA,NA,11.7095501912853,NA,NA,NA,"modelled"
11068,NA,21.862092199924,NA,NA,15.5006850080072,NA,51.7282861545857,48.2717138454143,"measured"
11043.9319,NA,17.7959698520192,NA,NA,17.3009838766988,NA,NA,NA,"modelled"
11038,NA,19.8003159866455,NA,NA,16.5240811919354,NA,51.6531908672961,48.3468091327039,"measured"
11026.8245,NA,23.5765090031304,NA,NA,15.0590853794991,NA,NA,NA,"modelled"
11008,NA,25.0906886786239,NA,NA,14.6056346176488,NA,50.1825776762639,49.8174223237361,"measured"
11006.2955,NA,25.2280776725607,NA,NA,14.6107030590898,NA,NA,NA,"modelled"
10995,8.4,57.952468,0,0,18.3729433,2.55941499,14.6252285,85.3747715,"measured"
10795,8.3,23.3009709,0,0,30.8031774,0.35304501,11.1209179,88.8790821,"measured"
10602.5,8.2,6.37681159,0,0,11.9806763,0.48309179,6.28019324,93.7198068,"measured"
10410,8.1,3.47523892,0,0,5.03909644,0,5.90790617,94.0920938,"measured"
10217.5,8,3.95480226,0,0,5.83804143,0.37664783,6.30885122,93.6911488,"measured"
10025,7.9,3.52733686,0,0,2.99823633,0.52910053,4.32098765,95.6790123,"measured"
9753.333333,7.8,2.33918129,0,0,2.43664717,0.09746589,4.09356725,95.9064327,"measured"
9481.666667,7.7,1.9123506,0,0,1.43426295,0.23904382,5.01992032,94.9800797,"measured"
9210,7.6,1.84108527,0,0,0.7751938,0.09689922,2.22868217,97.7713178,"measured"
8991.666667,7.5,2.89735099,0,0.08278146,0.82781457,0.33112583,3.39403974,96.6059603,"measured"
8773.333333,7.4,2.51937984,0,0,1.1627907,0.19379845,3.58527132,96.4147287,"measured"
8555,7.3,1.04803493,0,0,0.96069869,0.43668122,6.72489083,93.2751092,"measured"
8391.428571,7.2,2.74579274,0,0,2.30292294,0.26572188,6.7316209,93.2683791,"measured"
8227.857143,7.1,1.84738956,0,0,1.52610442,0,6.82730924,93.1726908,"measured"
8064.285714,7,2.52672498,0,0.09718173,1.55490768,0.09718173,6.02526725,93.9747328,"measured"
7900.714286,6.9,1.18343195,0,0,1.01437025,0.08453085,8.53761623,91.4623838,"measured"
7737.142857,6.8,0.9478673,0,0,1.10584518,0.23696682,6.87203791,93.1279621,"measured"
7573.571429,6.7,1.56657963,0,0,1.91470844,0.0870322,5.57006092,94.4299391,"measured"
7410,6.6,1.50976909,0,0,0.79928952,0.26642984,5.86145648,94.1385435,"measured"
7217.5,6.5,2.16637782,0,0,0.6932409,0,6.23916811,93.7608319,"measured"
7025,6.4,1.27701375,0,0,0.98231827,0.39292731,5.00982318,94.9901768,"measured"
6832.5,6.3,1.13339146,0.08718396,0,0.78465562,0.43591979,6.53879686,93.4612031,"measured"
6640,6.2,1.13141862,0,0.0870322,0.69625762,0.1740644,7.74586597,92.254134,"measured"
6447.5,6.1,2.31629393,0.23961661,0,0.71884984,0.0798722,9.74440895,90.2555911,"measured"
6255,6,1.09235353,0,0.09930487,0.89374379,0,8.14299901,91.857001,"measured"
6125,5.9,0.77586207,0,0,0.51724138,0.68965517,10.4310345,89.5689655,"measured"
5995,5.8,1.98915009,0,0,1.17540687,0.18083183,11.6636528,88.3363472,"measured"
5865,5.7,2.60416667,0,0,0.43402778,0.78125,11.8923611,88.1076389,"measured"
5735,5.6,2.53623188,0,0,0.54347826,1.44927536,11.5942029,88.4057971,"measured"
5605,5.5,2.16825672,0,0,0.86730269,0.26019081,10.7545533,89.2454467,"measured"
5353.571429,5.4,0.50377834,0,0.08396306,0.16792611,0.08396306,7.30478589,92.6952141,"measured"
5102.142857,5.3,1.36402387,0,0,0.93776641,0.34100597,12.2762148,87.7237852,"measured"
4850.714286,5.2,6.8627451,0,0.08169935,0.49019608,0.40849673,20.0163399,79.9836601,"measured"
4599.285714,5.1,4.73157416,0,0,0.27297543,0.36396724,5.0955414,94.9044586,"measured"
4347.857143,5,2.24358974,0,0,0.16025641,0.08012821,4.32692308,95.6730769,"measured"
4096.428571,4.9,0.64043916,0,0.09149131,0.36596523,0,3.56816102,96.431839,"measured"
3845,4.8,0.75757576,0,0.15151515,0.22727273,0.15151515,6.96969697,93.030303,"measured"
3618.75,4.7,5.02242152,0,0,0.2690583,1.25560538,11.6591928,88.3408072,"measured"
3392.5,4.6,17.8191489,0,0.17730496,0.53191489,0.62056738,4.96453901,95.035461,"measured"
3166.25,4.5,4.66786355,0,0,0.26929982,1.2567325,12.3877917,87.6122083,"measured"
2940,4.4,5.77367206,0,0.07698229,0.15396459,0.15396459,4.15704388,95.8429561,"measured"
2854.0625,4.3,6.60944206,0,0,0.51502146,0.60085837,29.2703863,70.7296137,"measured"
2768.125,4.2,7.25677831,0,0.07974482,0.55821372,0.31897927,38.5167464,61.4832536,"measured"
2682.1875,4.1,4.50530035,0,0.08833922,0.70671378,0.26501767,36.2190813,63.7809187,"measured"
2596.25,4,4.96794872,0,0.08012821,1.04166667,0.48076923,38.0608974,61.9391026,"measured"
2510.3125,3.9,15.2173913,0.09057971,0,0.63405797,1.35869565,26.6304348,73.3695652,"measured"
2424.375,3.8,5.52325581,0,0.07267442,0.72674419,0.21802326,37.7906977,62.2093023,"measured"
2338.4375,3.7,4.59952419,0,0,1.18953212,0.55511499,38.3822363,61.6177637,"measured"
2252.5,3.6,7.14823175,0,0.07524454,0.6772009,1.05342363,36.7193378,63.2806622,"measured"
2166.5625,3.5,3.79562044,0.0729927,0.0729927,1.16788321,0.94890511,44.4525547,55.5474453,"measured"
2080.625,3.4,2.22412318,0,0.1710864,1.19760479,0.3421728,35.6715141,64.3284859,"measured"
1994.6875,3.3,2.28658537,0,0.07621951,0.45731707,0.30487805,37.4237805,62.5762195,"measured"
1908.75,3.2,3.58598207,0,0.16299919,0.48899756,0.24449878,39.6903015,60.3096985,"measured"
1822.8125,3.1,11.1675127,0.07251632,0.07251632,0.29006526,0.79767948,17.2588832,82.7411168,"measured"
1736.875,3,30.9881423,0,0,0.4743083,0.4743083,12.4110672,87.5889328,"measured"
1650.9375,2.9,11.3881962,0,0,0.91438071,0.33250208,10.556941,89.443059,"measured"
1565,2.8,2.69331017,0,0,0.26064292,0.43440487,13.8140747,86.1859253,"measured"
1384,2.7,2.22861251,0,0,0.14378145,0.50323508,12.86844,87.13156,"measured"
1245.25,2.6,1.66251039,0,0,0.08312552,0.4156276,13.0507066,86.9492934,"measured"
1106.5,2.5,1.66805671,0,0.08340284,0.25020851,0.41701418,13.2610509,86.7389491,"measured"
1010,2.4,3.17337461,0,0.07739938,0.77399381,0.69659443,27.7863777,72.2136223,"measured"
965.5,2.3,2.76988636,0.35511364,0.14204545,0.42613636,1.63352273,37.9971591,62.0028409,"measured"
921,2.2,5.23917995,0,0,0.91116173,0.91116173,36.9779803,63.0220197,"measured"
876.5,2.1,2.88978495,0.0672043,0,0.2688172,0.53763441,52.8897849,47.1102151,"measured"
832,2,6.33172746,0,0.06882312,0.34411562,0.68823125,51.0667584,48.9332416,"measured"
787.5,1.9,2.8852459,0.26229508,0,0.45901639,0.19672131,47.4754098,52.5245902,"measured"
743,1.8,5.85284281,0.4180602,0,0.58528428,0.16722408,45.90301,54.09699,"measured"
698.5,1.7,2.90297937,0.30557678,0,0.45836516,0.61115355,57.1428571,42.8571429,"measured"
654,1.6,3.66218236,0.07473842,0.07473842,1.04633782,0.07473842,64.7234679,35.2765321,"measured"
609.5,1.5,3.28707085,0,0.07304602,0.80350621,0.36523009,50.9130752,49.0869248,"measured"
565,1.4,2.44274809,0.45801527,0.07633588,0.61068702,0.15267176,51.2977099,48.7022901,"measured"
520.5,1.3,1.04417671,0.32128514,0,0.40160643,0.64257028,58.4738956,41.5261044,"measured"
476,1.2,4.05315615,0.33222591,0.13289037,0.66445183,0.13289037,56.5448505,43.4551495,"measured"
431.5,1.1,3.75354108,1.62889518,0,1.06232295,0.35410765,55.1699717,44.8300283,"measured"
387,1,2.43204578,0.71530758,0.07153076,1.50214592,0.07153076,65.9513591,34.0486409,"measured"
342.5,0.9,2.09537572,0.14450867,0,1.51734104,0.28901734,65.8959538,34.1040462,"measured"
298,0.8,2.04485488,0.19788918,0,1.18733509,0.13192612,68.6675462,31.3324538,"measured"
253.5,0.7,2.59938838,0.2293578,0.0764526,1.75840979,0.5351682,66.0550459,33.9449541,"measured"
209,0.6,2.52659574,0.53191489,0.13297872,2.2606383,0.33244681,75.4654255,24.5345745,"measured"
164.5,0.5,2.20949264,0,0.49099836,4.09165303,0.16366612,70.7855974,29.2144026,"measured"
120,0.4,3.73134328,0.07462687,2.08955224,4.7761194,0.82089552,63.4328358,36.5671642,"measured"
90,0.3,3.1182016,0.29006526,2.53807107,5.72878898,0.79767948,63.6693256,36.3306744,"measured"
60,0.2,3.80096752,0,2.90255701,6.08154803,1.03662751,63.4416033,36.5583967,"measured"
30,0.1,4.21052632,0,3.08270677,5.71428571,0.45112782,64.2857143,35.7142857,"measured"
0,0,4.70852018,0.11210762,4.48430493,9.52914798,1.56950673,50.4484305,49.5515695,"measured"
