"age";"depth";"Betula";"Juniperus";"Picea";"Pinus";"Salix";"NAP";"AP"
0;0;4.70852018;0.11210762;4.48430493;9.52914798;1.56950673;50.4484305;49.5515695
30;0.1;4.21052632;0;3.08270677;5.71428571;0.45112782;64.2857143;35.7142857
60;0.2;3.80096752;0;2.90255701;6.08154803;1.03662751;63.4416033;36.5583967
90;0.3;3.1182016;0.29006526;2.53807107;5.72878898;0.79767948;63.6693256;36.3306744
120;0.4;3.73134328;0.07462687;2.08955224;4.7761194;0.82089552;63.4328358;36.5671642
164.5;0.5;2.20949264;0;0.49099836;4.09165303;0.16366612;70.7855974;29.2144026
209;0.6;2.52659574;0.53191489;0.13297872;2.2606383;0.33244681;75.4654255;24.5345745
253.5;0.7;2.59938838;0.2293578;0.0764526;1.75840979;0.5351682;66.0550459;33.9449541
298;0.8;2.04485488;0.19788918;0;1.18733509;0.13192612;68.6675462;31.3324538
342.5;0.9;2.09537572;0.14450867;0;1.51734104;0.28901734;65.8959538;34.1040462
387;1;2.43204578;0.71530758;0.07153076;1.50214592;0.07153076;65.9513591;34.0486409
431.5;1.1;3.75354108;1.62889518;0;1.06232295;0.35410765;55.1699717;44.8300283
476;1.2;4.05315615;0.33222591;0.13289037;0.66445183;0.13289037;56.5448505;43.4551495
520.5;1.3;1.04417671;0.32128514;0;0.40160643;0.64257028;58.4738956;41.5261044
565;1.4;2.44274809;0.45801527;0.07633588;0.61068702;0.15267176;51.2977099;48.7022901
609.5;1.5;3.28707085;0;0.07304602;0.80350621;0.36523009;50.9130752;49.0869248
654;1.6;3.66218236;0.07473842;0.07473842;1.04633782;0.07473842;64.7234679;35.2765321
698.5;1.7;2.90297937;0.30557678;0;0.45836516;0.61115355;57.1428571;42.8571429
743;1.8;5.85284281;0.4180602;0;0.58528428;0.16722408;45.90301;54.09699
787.5;1.9;2.8852459;0.26229508;0;0.45901639;0.19672131;47.4754098;52.5245902
832;2;6.33172746;0;0.06882312;0.34411562;0.68823125;51.0667584;48.9332416
876.5;2.1;2.88978495;0.0672043;0;0.2688172;0.53763441;52.8897849;47.1102151
921;2.2;5.23917995;0;0;0.91116173;0.91116173;36.9779803;63.0220197
965.5;2.3;2.76988636;0.35511364;0.14204545;0.42613636;1.63352273;37.9971591;62.0028409
1010;2.4;3.17337461;0;0.07739938;0.77399381;0.69659443;27.7863777;72.2136223
1106.5;2.5;1.66805671;0;0.08340284;0.25020851;0.41701418;13.2610509;86.7389491
1245.25;2.6;1.66251039;0;0;0.08312552;0.4156276;13.0507066;86.9492934
1384;2.7;2.22861251;0;0;0.14378145;0.50323508;12.86844;87.13156
1565;2.8;2.69331017;0;0;0.26064292;0.43440487;13.8140747;86.1859253
1650.9375;2.9;11.3881962;0;0;0.91438071;0.33250208;10.556941;89.443059
1736.875;3;30.9881423;0;0;0.4743083;0.4743083;12.4110672;87.5889328
1822.8125;3.1;11.1675127;0.07251632;0.07251632;0.29006526;0.79767948;17.2588832;82.7411168
1908.75;3.2;3.58598207;0;0.16299919;0.48899756;0.24449878;39.6903015;60.3096985
1994.6875;3.3;2.28658537;0;0.07621951;0.45731707;0.30487805;37.4237805;62.5762195
2080.625;3.4;2.22412318;0;0.1710864;1.19760479;0.3421728;35.6715141;64.3284859
2166.5625;3.5;3.79562044;0.0729927;0.0729927;1.16788321;0.94890511;44.4525547;55.5474453
2252.5;3.6;7.14823175;0;0.07524454;0.6772009;1.05342363;36.7193378;63.2806622
2338.4375;3.7;4.59952419;0;0;1.18953212;0.55511499;38.3822363;61.6177637
2424.375;3.8;5.52325581;0;0.07267442;0.72674419;0.21802326;37.7906977;62.2093023
2510.3125;3.9;15.2173913;0.09057971;0;0.63405797;1.35869565;26.6304348;73.3695652
2596.25;4;4.96794872;0;0.08012821;1.04166667;0.48076923;38.0608974;61.9391026
2682.1875;4.1;4.50530035;0;0.08833922;0.70671378;0.26501767;36.2190813;63.7809187
2768.125;4.2;7.25677831;0;0.07974482;0.55821372;0.31897927;38.5167464;61.4832536
2854.0625;4.3;6.60944206;0;0;0.51502146;0.60085837;29.2703863;70.7296137
2940;4.4;5.77367206;0;0.07698229;0.15396459;0.15396459;4.15704388;95.8429561
3166.25;4.5;4.66786355;0;0;0.26929982;1.2567325;12.3877917;87.6122083
3392.5;4.6;17.8191489;0;0.17730496;0.53191489;0.62056738;4.96453901;95.035461
3618.75;4.7;5.02242152;0;0;0.2690583;1.25560538;11.6591928;88.3408072
3845;4.8;0.75757576;0;0.15151515;0.22727273;0.15151515;6.96969697;93.030303
4096.428571;4.9;0.64043916;0;0.09149131;0.36596523;0;3.56816102;96.431839
4347.857143;5;2.24358974;0;0;0.16025641;0.08012821;4.32692308;95.6730769
4599.285714;5.1;4.73157416;0;0;0.27297543;0.36396724;5.0955414;94.9044586
4850.714286;5.2;6.8627451;0;0.08169935;0.49019608;0.40849673;20.0163399;79.9836601
5102.142857;5.3;1.36402387;0;0;0.93776641;0.34100597;12.2762148;87.7237852
5353.571429;5.4;0.50377834;0;0.08396306;0.16792611;0.08396306;7.30478589;92.6952141
5605;5.5;2.16825672;0;0;0.86730269;0.26019081;10.7545533;89.2454467
5735;5.6;2.53623188;0;0;0.54347826;1.44927536;11.5942029;88.4057971
5865;5.7;2.60416667;0;0;0.43402778;0.78125;11.8923611;88.1076389
5995;5.8;1.98915009;0;0;1.17540687;0.18083183;11.6636528;88.3363472
6125;5.9;0.77586207;0;0;0.51724138;0.68965517;10.4310345;89.5689655
6255;6;1.09235353;0;0.09930487;0.89374379;0;8.14299901;91.857001
6447.5;6.1;2.31629393;0.23961661;0;0.71884984;0.0798722;9.74440895;90.2555911
6640;6.2;1.13141862;0;0.0870322;0.69625762;0.1740644;7.74586597;92.254134
6832.5;6.3;1.13339146;0.08718396;0;0.78465562;0.43591979;6.53879686;93.4612031
7025;6.4;1.27701375;0;0;0.98231827;0.39292731;5.00982318;94.9901768
7217.5;6.5;2.16637782;0;0;0.6932409;0;6.23916811;93.7608319
7410;6.6;1.50976909;0;0;0.79928952;0.26642984;5.86145648;94.1385435
7573.571429;6.7;1.56657963;0;0;1.91470844;0.0870322;5.57006092;94.4299391
7737.142857;6.8;0.9478673;0;0;1.10584518;0.23696682;6.87203791;93.1279621
7900.714286;6.9;1.18343195;0;0;1.01437025;0.08453085;8.53761623;91.4623838
8064.285714;7;2.52672498;0;0.09718173;1.55490768;0.09718173;6.02526725;93.9747328
8227.857143;7.1;1.84738956;0;0;1.52610442;0;6.82730924;93.1726908
8391.428571;7.2;2.74579274;0;0;2.30292294;0.26572188;6.7316209;93.2683791
8555;7.3;1.04803493;0;0;0.96069869;0.43668122;6.72489083;93.2751092
8773.333333;7.4;2.51937984;0;0;1.1627907;0.19379845;3.58527132;96.4147287
8991.666667;7.5;2.89735099;0;0.08278146;0.82781457;0.33112583;3.39403974;96.6059603
9210;7.6;1.84108527;0;0;0.7751938;0.09689922;2.22868217;97.7713178
9481.666667;7.7;1.9123506;0;0;1.43426295;0.23904382;5.01992032;94.9800797
9753.333333;7.8;2.33918129;0;0;2.43664717;0.09746589;4.09356725;95.9064327
10025;7.9;3.52733686;0;0;2.99823633;0.52910053;4.32098765;95.6790123
10217.5;8;3.95480226;0;0;5.83804143;0.37664783;6.30885122;93.6911488
10410;8.1;3.47523892;0;0;5.03909644;0;5.90790617;94.0920938
10602.5;8.2;6.37681159;0;0;11.9806763;0.48309179;6.28019324;93.7198068
10795;8.3;23.3009709;0;0;30.8031774;0.35304501;11.1209179;88.8790821
10995;8.4;57.952468;0;0;18.3729433;2.55941499;14.6252285;85.3747715
11008;NA;25.0906886786239;NA;NA;14.6056346176488;NA;50.1825776762639;49.8174223237361
11038;NA;19.8003159866455;NA;NA;16.5240811919354;NA;51.6531908672961;48.3468091327039
11068;NA;21.862092199924;NA;NA;15.5006850080072;NA;51.7282861545857;48.2717138454143
11098;NA;27.9721543565854;NA;NA;11.0257591144642;NA;51.1106134931912;48.8893865068088
11128;NA;31.8526379250088;NA;NA;9.78287426187465;NA;50.8386400748786;49.1613599251214
11158;NA;29.1328075902598;NA;NA;10.9694082601708;NA;51.2921847039339;48.7078152960661
11188;NA;23.4218317264251;NA;NA;13.4932993646361;NA;52.7782970388657;47.2217029611343
11218;NA;18.8591865129014;NA;NA;15.2370477076031;NA;54.0119728906224;45.9880271093776
11248;NA;19.5832109860513;NA;NA;16.6994687897765;NA;53.167973999668;46.832026000332
11278;NA;21.108660124208;NA;NA;15.4207155642818;NA;52.3239751087136;47.6760248912864
11308;NA;20.92089259766;NA;NA;16.2105920020997;NA;51.6726699510097;48.3273300489903
11338;NA;18.7678499221384;NA;NA;18.1738074758528;NA;51.1785313775189;48.8214686224811
11368;NA;16.4509465276125;NA;NA;20.5115365987689;NA;50.6843928040281;49.3156071959719
11398;NA;14.4725668572061;NA;NA;20.18765537442;NA;53.5009900934268;46.4990099065732
11428;NA;14.8712403462543;NA;NA;18.2307778023945;NA;56.4675232253308;43.5324767746692
11458;NA;15.554823434306;NA;NA;16.2420263257097;NA;58.2673114527775;41.7326885472225
11488;NA;14.9266321575714;NA;NA;14.4884123447548;NA;61.7566124495079;38.2433875504921
11518;NA;16.2430399408013;NA;NA;14.4012197743813;NA;61.564519653207;38.435480346793
11548;NA;23.968221895737;NA;NA;11.6274506627993;NA;59.6527046749282;40.3472953250718
11578;NA;21.3672381157957;NA;NA;9.92529996371159;NA;60.8579518520764;39.1420481479236
11608;NA;11.8198425045808;NA;NA;11.1872362412707;NA;68.117000303811;31.882999696189
11638;NA;12.0057593292598;NA;NA;11.1921257370259;NA;66.316605944904;33.683394055096
11668;NA;15.7081844546163;NA;NA;7.72076005004514;NA;69.7233500615264;30.2766499384736
11698;NA;14.92632340636;NA;NA;8.75281266154716;NA;70.2558319746673;29.7441680253327
11728;NA;15.2339541002946;NA;NA;8.13376104522284;NA;70.0823689761854;29.9176310238146
11758;NA;14.8134816315674;NA;NA;8.98887363362347;NA;71.9111404186495;28.0888595813505
11788;NA;14.0892113869479;NA;NA;6.93142379177767;NA;75.1146734093899;24.8853265906101
11818;NA;16.1139391192827;NA;NA;6.91349672191941;NA;71.6263565027914;28.3736434972086
11848;NA;10.970999376142;NA;NA;8.07055355793849;NA;75.611503507453;24.388496492547
11878;NA;12.0477312706518;NA;NA;8.68667280869088;NA;75.2278655337079;24.7721344662921
11908;NA;13.5537041127029;NA;NA;8.56391092437417;NA;74.8442275599627;25.1557724400373
11938;NA;11.6080006880177;NA;NA;8.36895794414498;NA;77.9989105403151;22.0010894596849
11968;NA;9.42996186126629;NA;NA;9.64223566648715;NA;77.6108542559107;22.3891457440893
11998;NA;12.1298195724402;NA;NA;9.54734904558919;NA;74.1990279298912;25.8009720701088
12028;NA;10.4434614345456;NA;NA;10.306667350504;NA;75.3260592085881;24.6739407914119
12058;NA;11.7708461209907;NA;NA;7.72479825696135;NA;78.7147352027626;21.2852647972374
12088;NA;8.21070855010357;NA;NA;6.09169411504157;NA;84.9043380584858;15.0956619415142
12118;NA;7.65189320083663;NA;NA;7.66821198700637;NA;84.3273811235115;15.6726188764885
12148;NA;9.90082399912302;NA;NA;10.7515574572256;NA;77.7328132828807;22.2671867171193
12178;NA;11.2412905320182;NA;NA;7.96567217314194;NA;76.7762202985362;23.2237797014638
12208;NA;6.58412644039929;NA;NA;7.88164879627351;NA;85.8245511414471;14.1754488585529
12238;NA;10.5440759907622;NA;NA;9.4406825916301;NA;77.5441591774131;22.4558408225869
12268;NA;11.1900541928148;NA;NA;7.13152819162032;NA;78.6301656632464;21.3698343367536
12298;NA;11.0486745128767;NA;NA;9.24147558431916;NA;76.4999494863944;23.5000505136056
12328;NA;9.75598654319654;NA;NA;8.44803793930887;NA;77.8543012089195;22.1456987910805
12358;NA;10.7804087150575;NA;NA;9.56033154336687;NA;76.8668552069945;23.1331447930055
12388;NA;12.4515154220946;NA;NA;8.57687464855491;NA;73.9313685269147;26.0686314730853
12418;NA;9.89866992576626;NA;NA;10.1650056512681;NA;76.5758142834829;23.4241857165171
12448;NA;9.77703122196676;NA;NA;8.98076826975832;NA;76.4810332966036;23.5189667033964
12478;NA;8.28125569115609;NA;NA;7.87130661975992;NA;78.3298396604134;21.6701603395866
12508;NA;10.7868255699669;NA;NA;7.39177120783147;NA;76.6444187055425;23.3555812944575
12538;NA;7.23657438751329;NA;NA;8.4933702936364;NA;81.4601323154976;18.5398676845024
12568;NA;9.44255627986831;NA;NA;10.064546942289;NA;74.9387133744923;25.0612866255077
12598;NA;10.180596638556;NA;NA;11.1195206386384;NA;72.6022456210861;27.3977543789139
12628;NA;9.20919912522155;NA;NA;10.7904392096863;NA;77.1714229741899;22.8285770258101
12658;NA;8.61800987430597;NA;NA;11.8965209553141;NA;81.1123836295615;18.8876163704385
12688;NA;12.4322887443236;NA;NA;12.4910427272014;NA;69.9065618108816;30.0934381891184
12718;NA;15.5621941749148;NA;NA;12.917953027613;NA;65.56261815947;34.43738184053
12748;NA;15.5562415390316;NA;NA;14.6562471708373;NA;62.2283701448182;37.7716298551818
12778;NA;21.665634490282;NA;NA;12.7235001612064;NA;58.20012233676;41.79987766324
12808;NA;27.9767971683873;NA;NA;10.2126396328047;NA;56.5652945594939;43.4347054405061
12838;NA;25.7520484746225;NA;NA;10.0894487337042;NA;60.5055503126632;39.4944496873368
12868;NA;19.7845814008623;NA;NA;9.30474136646829;NA;67.3292386245401;32.6707613754599
12898;NA;19.8880071268407;NA;NA;9.89009406642519;NA;66.2192979919595;33.7807020080405
12928;NA;17.894177936118;NA;NA;9.77942336993323;NA;67.5239155447657;32.4760844552343
12958;NA;17.5792268565294;NA;NA;8.94924310470015;NA;69.5104309644202;30.4895690355798
12988;NA;20.861471438684;NA;NA;8.79529806009412;NA;66.4221153181118;33.5778846818882
13018;NA;16.5250940938535;NA;NA;9.6173601964015;NA;68.451277247831;31.548722752169
13048;NA;21.4141746063895;NA;NA;8.69705633182317;NA;63.9178968844344;36.0821031155656
13078;NA;26.5311494750448;NA;NA;7.13794317744712;NA;58.6426861111423;41.3573138888577
13108;NA;26.2945529681015;NA;NA;6.96355803670004;NA;62.1560391943592;37.8439608056408
13138;NA;24.846490808443;NA;NA;7.82770781518382;NA;62.2736810001175;37.7263189998825
13168;NA;25.3497807026229;NA;NA;8.78677682218013;NA;61.1539802539248;38.8460197460752
13198;NA;30.0826404624817;NA;NA;6.53672331640318;NA;58.7013904061757;41.2986095938243
13228;NA;29.6496629825302;NA;NA;6.40460767698799;NA;59.2056072048855;40.7943927951145
13258;11.873;18.3059315;0.23620564;0;16.7705981;1.18102784;63.2700314;36.7299686
13289;11.895;17.6264666;0.24145842;0.08048612;13.8436121;1.52923636;66.517768;33.482232
13320;11.917;16.8993898;0.14321521;0;11.9584687;1.64697477;69.3519515;30.6480485
13350;11.938;15.2905172;0;0;9.01969122;1.20262531;74.3153627;25.6846373
13382;11.96;25.9422289;0.09716189;0;9.32754372;2.33188563;62.0096942;37.9903058
13413;11.982;23.8587113;0.09141271;0;9.68974716;2.46814281;63.2520972;36.7479028
13446;12.005;30.5303798;0.3852414;0;8.95686488;2.40775885;57.0455826;42.9544174
13473;12.025;24.8400515;0.27498212;0;9.53271255;2.56649997;61.8691468;38.1308532
13503;12.048;33.2409994;0.6595436;0;10.2888795;4.35298789;50.666137;49.333863
13532;12.072;30.7747796;0.60106994;0;11.1799011;2.76492146;54.1984719;45.8015281
13560;12.094;37.1797371;0.49082163;0;9.81643427;2.45410816;49.6907826;50.3092174
13587;12.116;29.8096776;0.34395777;0;11.923871;2.86631491;54.2536108;45.7463892
13616;12.139;26.8835014;0.28398065;0;8.04612022;2.8398065;61.5679504;38.4320496
13643;12.161;16.4499211;0.38796981;0;4.65563771;2.17263123;76.1010583;23.8989417
13670;12.183;18.059057;0.81347101;0;3.49792561;1.22020678;75.921257;24.078743
13700;12.206;17.803939;0.7266914;0;3.34278024;2.54341965;75.3651623;24.6348377
13729;12.228;11.0796068;0.43735283;0;3.06146991;2.62411674;82.5787773;17.4212227
13757;12.25;24.8928892;0.99174885;0;3.5702947;2.7768962;67.5698213;32.4301787
13784;12.272;22.6301491;1.36833432;0;3.05243878;3.26295147;69.5808699;30.4191301
13809;12.295;13.3376241;0.86302283;0;2.03987153;1.56913195;82.111893;17.888107
13832;12.317;15.1285955;0.90170394;0;1.40265094;1.60302975;80.7636412;19.2363588
13857;12.34;9.16661647;1.1051953;0;3.77066555;1.36524081;84.2672245;15.7327755
13881;12.362;17.8640153;0.69087359;0;4.93481182;2.07262076;74.0428936;25.9571064
13906;12.385;16.5935248;0.72539998;0;2.9922746;1.54147464;77.9659759;22.0340241
13930;12.407;2.15707373;0.17158544;0;0.1960977;0.28189041;97.1688405;2.83115948
13955;12.43;3.67576612;0.21059074;0;0.38289231;0.59348321;95.118123;4.881877
13979;12.452;3.59930374;0.1391996;0;0.21874222;0.45737008;95.545613;4.45438696
14004;12.475;3.69955868;0.07473856;0;0.26158501;0.46711598;95.4783171;4.52168286
14028;12.497;19.6723584;0.11504302;0;0.57521531;1.15043021;78.4294316;21.5705684
14052;12.519;2.70506914;0.08607037;0;0.15984495;0.27050691;96.7662129;3.23378714
14085;12.549;4.22469308;0.18588647;0;0.15208889;0.21968405;95.2176475;4.78235249
14105;12.567;0.88039486;0.06071689;0;0.04250182;0.11536209;98.888881;1.11111904
14125;12.585;1.40256852;0.13636082;0;0.09740058;0.97400566;97.3896644;2.61033557
14145;12.603;0.18130132;0.02500708;0;0.03751062;0.05939182;99.6874115;0.31258849
14164;12.621;4.76234212;0.6913079;0;0.30724798;2.38117194;91.6274941;8.37250594
14183;12.638;4.67508316;0.92271337;0;0.61514237;2.33754085;91.4495203;8.55047975
14203;12.656;4.4361626;0.41404187;0;0.29574425;2.48425154;92.3697997;7.63020026
14223;12.675;8.21069961;0.98247669;0;0.49123857;3.22813814;87.0172701;12.9827299
14243;12.693;5.16837229;0.53465915;0;0.31188468;2.18319216;91.5345621;8.46543794
14261;12.71;6.67271672;1.76159719;0;0.26690867;2.82923179;88.3094004;11.6905996
14281;12.728;2.66163263;0.55306683;0;0.13826668;1.55550024;95.0224003;4.97759973
14300;12.746;2.27842324;1.37654733;0;0.28480292;2.89549646;93.0223286;6.97767138
14320;12.764;1.0838668;0.48948819;0;0.17481721;1.43350131;96.6435093;3.35649072
14382;12.824;1.99400578;1.51061054;0;0.06042441;1.26891274;95.1056221;4.89437788
14418;12.86;5.14888289;0.80645159;0;0.18610423;2.17121565;91.5632762;8.43672383
14452;12.894;3.96252235;0.50158493;0;0.40126794;2.25713233;92.7771754;7.22282456
14463;12.905;3.73598973;0.56605925;0.22642363;0.39624144;2.32084212;92.5280202;7.47197983
14491;12.933;1.84284572;0.35957965;0.17978982;1.12368643;1.84284572;94.3815679;5.61843209
14519;12.962;3.48837201;0.6459948;0.25839793;2.19638267;2.45478067;90.6976739;9.3023261
14545;12.989;5.52221396;0.41677087;0.20838541;1.5628907;2.18804709;89.4765356;10.5234644
14573;13.018;2.54550109;0.72728572;0.36364297;1.27275028;1.1818397;93.1816943;6.8183057
14599;13.046;3.90977853;1.07855951;0.94373967;3.64013886;1.21337934;87.7313848;12.2686152
14627;13.075;3.55862103;0.41061015;0.54748023;4.79045189;0.54748023;88.3660456;11.6339544
14652;13.102;2.84292794;0.20306633;1.42146397;8.73185048;0.40613259;83.9577628;16.0422372
14678;13.129;0.98066133;0.09806613;0.88259529;6.2762312;0.2941984;90.5856524;9.41434755
14707;13.159;1.34651122;0;1.07720912;7.27116173;0.53860449;87.7467468;12.2532532
14733;13.186;0.95667625;0.27333606;1.50334808;6.97007003;0.95667625;88.3832172;11.6167828
14761;13.215;2.02035536;0;1.01017768;12.3746725;0.88390528;82.8269838;17.1730162
14788;13.243;1.46144572;0;2.58563505;12.3660813;0.56209466;82.1253919;17.8746081
14815;13.271;0.48851972;0;1.62839906;14.8184341;0.32567981;80.7848882;19.2151118
14843;13.3;1.49065492;0;0.34399726;11.2372419;0.68799478;84.4054591;15.5945409
14869;13.328;1.88492052;0.29761905;0.69444443;9.22618872;0.09920633;86.8055575;13.1944425
14896;13.356;0.93228259;0;0.59327052;9.23807229;0.16950589;87.7955743;12.2044257
14922;13.384;0.37524398;0;0.43778448;5.06579417;0.25016259;93.0579863;6.94201374
14949;13.412;0.82568807;0;0.64220183;9.26605505;0.09174312;88.0733945;11.9266055
14975;13.44;0.56171271;0;0.21604338;5.53070988;0.12962602;93.2162386;6.78376143
15003;13.468;0.48599728;0;0.12149929;9.11244736;0.24299861;88.882814;11.117186
15030;13.496;0.98204295;0.14029178;1.26262591;23.849607;0.8417511;69.9775532;30.0224468
